Number	mt19937_64-100000_1	mt19937_64-100000_2	Number2
0	483	544	0
1	950	977	1
2	1006	995	2
3	1002	975	3
4	998	1072	4
5	974	987	5
6	1016	995	6
7	1032	1080	7
8	918	1077	8
9	1026	1036	9
10	987	988	10
11	1025	981	11
12	996	982	12
13	1018	970	13
14	1042	948	14
15	1020	940	15
16	941	967	16
17	1017	964	17
18	982	934	18
19	1022	968	19
20	1019	1057	20
21	970	1037	21
22	996	983	22
23	1071	1005	23
24	1004	997	24
25	1035	996	25
26	1018	992	26
27	983	996	27
28	1049	976	28
29	1000	973	29
30	1009	999	30
31	1006	993	31
32	1017	1092	32
33	980	961	33
34	1019	1025	34
35	1002	1007	35
36	975	973	36
37	991	993	37
38	994	1016	38
39	974	1021	39
40	1043	1005	40
41	985	968	41
42	1052	986	42
43	1034	1045	43
44	997	1007	44
45	1022	969	45
46	1045	963	46
47	999	986	47
48	994	987	48
49	944	985	49
50	950	1006	50
51	986	951	51
52	997	1006	52
53	1024	1002	53
54	970	1001	54
55	1072	973	55
56	1036	996	56
57	975	1025	57
58	970	952	58
59	985	960	59
60	975	982	60
61	1007	1037	61
62	979	994	62
63	1017	1015	63
64	1046	1038	64
65	1021	994	65
66	991	1020	66
67	1015	1061	67
68	1014	1016	68
69	1010	1027	69
70	977	1035	70
71	1013	964	71
72	1005	983	72
73	1034	986	73
74	1016	1027	74
75	974	955	75
76	1037	1053	76
77	1001	994	77
78	950	1014	78
79	973	985	79
80	1001	998	80
81	1055	965	81
82	1008	973	82
83	973	1017	83
84	1010	958	84
85	1025	992	85
86	948	1077	86
87	1010	1086	87
88	980	936	88
89	972	976	89
90	994	1014	90
91	952	985	91
92	973	995	92
93	975	991	93
94	990	1054	94
95	983	976	95
96	989	1021	96
97	1016	1061	97
98	1014	999	98
99	938	1004	99
100	492	497	100
